id,path,species,hint
1,datasets/dog_dataset/underweight_dogs/0221df47f249444135480b6e41ba5ab2.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
2,datasets/dog_dataset/underweight_dogs/0244e6bc94ddce0131e38e42759a9df3.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
3,datasets/dog_dataset/underweight_dogs/0248efe02876ec3994b6a1664049ad3a.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
4,datasets/dog_dataset/underweight_dogs/0410e86376c35e37d77e8a533f34628b.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
5,datasets/dog_dataset/underweight_dogs/06a4e6bdf5de8457ed87da97e14183b2.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
6,datasets/dog_dataset/underweight_dogs/079328ca4eb9f0188e38c1107cd716c3.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
7,datasets/dog_dataset/underweight_dogs/096b7d37a8430f32b6c4dcc8844f34e2.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
8,datasets/dog_dataset/underweight_dogs/09d3c1fba8cfb43d29413a8b1bf4d608.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
9,datasets/dog_dataset/underweight_dogs/0ce3e44c9f2729410a718f5289c9c171.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
10,datasets/dog_dataset/underweight_dogs/0e6c756260b7f04e6ef304bd3678c8cf.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
11,datasets/dog_dataset/underweight_dogs/11a12180d17717fd9605142a08da5c84.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
12,datasets/dog_dataset/underweight_dogs/1243f7628699f2713488ca9c984bc819.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
13,datasets/dog_dataset/underweight_dogs/135a17ab85e7f1195eee338641e5f50b.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
14,datasets/dog_dataset/underweight_dogs/154c5b8f4644685fb68bc955cb45bb7c.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
15,datasets/dog_dataset/underweight_dogs/18b675c10b664060fb54eb60a6a4f5b6.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
16,datasets/dog_dataset/underweight_dogs/1978843462cb1aaac9eb3ac77f378bcd.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
17,datasets/dog_dataset/underweight_dogs/1a24b41ac1a8034b6d2782fbb1cba05e.jpg,dog,This dog is classified as underweight (BCS likely 1-4).
