id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,bcs50
imported_20250214,ai,0.3776,4.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,4.0,5.0,9.0,8.0,9.0,9.0,9.0,9.0,5.0,4.0,4.0,5.0,7.0,2.0,5.0,6.5,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,9.0,5.0,7.0,,9.0,7.0,7.0,7.0,7.0,8.0,3.0,9.0,5.0,8.0,3.0,3.0,8.0,4.0
20260214_112529,ai,0.7700,4.5,5.5,8.5,7.0,6.5,4.5,4.5,4.5,4.5,4.5,8.5,8.5,8.5,8.5,9.0,8.5,5.5,4.5,4.5,5.5,5.5,4.0,6.0,6.5,4.0,4.5,4.5,4.5,4.5,6.0,4.5,4.5,7.0,5.5,6.5,9.0,8.5,6.0,6.5,5.5,6.5,7.0,4.5,7.5,4.5,6.5,4.5,4.0,7.5,6.5
20260214_114250,ai,0.7900,4.5,4.5,8.5,6.5,5.5,4.0,4.5,4.0,4.5,4.5,8.5,8.5,8.5,8.5,9.0,8.5,5.5,4.5,4.5,5.5,5.5,4.0,6.5,6.0,4.5,4.5,4.5,4.5,4.5,6.5,4.0,4.5,7.5,5.5,6.0,8.5,8.0,6.0,7.0,5.5,6.5,6.5,4.5,7.5,4.5,6.5,4.5,4.5,8.5,6.5
20260220_002934,blaifa/InternVL3_5:8b,1.2800,4.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,7.0,4.0,5.0,7.0,8.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,4.0,5.0,7.0,4.0,5.0,7.0
20260220_003128,blaifa/InternVL3_5:8b,1.3200,4.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,7.0,4.0,5.0,7.0,8.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,4.0,5.0,7.0,4.0,5.0,7.0
20260220_003322,blaifa/InternVL3_5:8b,1.3100,4.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,7.0,4.0,5.0,7.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,4.0,5.0,7.0,4.0,5.0,7.0
20260220_003606,qwen2.5vl:7b,1.4800,3.0,3.0,7.0,7.0,3.0,4.0,4.0,3.0,5.0,4.0,8.0,7.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,4.0,7.0,7.0,6.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,8.0,4.0,4.0,1.0,8.0,4.0,7.0,4.0,6.0,6.0,3.0,7.0,2.0,7.0,2.0,2.0,7.0,1.0
20260220_003843,qwen2.5vl:7b,1.5600,3.0,3.0,8.0,7.0,3.0,4.0,4.0,3.0,5.0,4.0,8.0,7.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,4.0,7.0,7.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,7.0,8.0,4.0,4.0,1.0,8.0,4.0,7.0,4.0,4.0,6.0,3.0,7.0,2.0,7.0,2.0,2.0,7.0,1.0
20260220_004122,qwen2.5vl:7b,1.5600,3.0,3.0,7.0,7.0,3.0,4.0,4.0,3.0,7.0,4.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,4.0,7.0,7.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,7.0,8.0,4.0,6.0,1.0,8.0,4.0,7.0,5.0,4.0,4.0,3.0,7.0,2.0,7.0,3.0,2.0,7.0,1.0
20260220_010207,qwen/qwen2.5-vl-72b-instruct,1.1122,4.0,5.0,7.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,8.0,7.0,7.0,8.0,5.0,7.0,4.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.5,5.0,8.0,5.0,5.0,,8.0,5.0,7.0,4.0,7.0,5.0,5.0,8.0,3.0,7.0,5.0,3.0,5.0,8.0
