id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39
20260318_161552,openai/gpt-5.4,0.6282,4.0,3.25,3.0,3.25,2.75,2.75,3.0,3.0,3.25,3.25,3.0,3.25,3.25,2.0,2.75,4.0,3.25,3.25,2.0,4.0,2.75,2.75,3.25,2.0,2.75,3.25,2.75,2.0,4.0,3.25,3.0,4.25,3.25,3.25,3.25,3.25,3.25,3.25,4.25
20260318_161713,anthropic/claude-opus-4.6,0.6346,3.25,3.25,3.25,3.25,3.0,2.25,3.0,3.25,2.75,3.0,3.0,3.25,3.0,2.25,3.0,3.25,3.0,2.75,2.75,3.25,2.75,2.75,2.75,2.75,2.75,3.25,3.0,3.0,3.0,3.0,2.75,3.75,2.75,3.25,2.75,3.0,3.0,3.25,3.0
20260318_161951,anthropic/claude-sonnet-4.6,0.7436,3.0,2.75,3.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,2.75,2.75,3.0,3.0,2.75,3.25,3.0,2.0,3.0,2.75,2.0,2.75,3.0,2.0,2.0,2.75,3.0,1.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20260318_162135,google/gemini-3.1-pro-preview,0.7308,3.25,3.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0,2.75,2.75,2.75,1.25,2.75,3.75,3.25,2.0,2.25,2.75,2.0,2.75,3.0,2.0,2.75,3.0,3.0,1.0,2.75,3.0,3.0,4.0,3.75,3.25,3.0,3.0,3.75,3.0,4.75
20260318_163518,openai/gpt-4o,1.0192,2.75,2.0,2.75,2.75,2.75,1.0,2.0,2.75,2.75,2.75,2.0,2.0,2.0,2.0,2.0,2.75,2.0,2.0,2.0,2.75,2.0,2.0,3.0,2.0,2.75,2.75,2.75,2.0,2.75,2.75,2.75,2.75,2.0,2.75,2.75,3.0,3.0,2.75,2.0
20260318_163757,openai/gpt-4.1,1.4808,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.75,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.75,1.75,1.0,2.0,2.0,2.0,2.25,2.0,2.75,1.75,2.75,1.0,2.0,2.75,1.75,2.0,2.0,2.0,1.0,2.75,2.0,2.75,1.0
20260318_164030,anthropic/claude-sonnet-4.5,0.9679,3.0,2.75,2.75,2.25,2.75,2.25,2.25,2.25,2.75,2.25,3.0,2.25,2.25,2.25,2.75,2.25,2.25,2.25,2.0,2.75,2.25,2.25,2.75,2.25,2.75,3.0,2.25,2.25,2.25,2.75,2.75,2.75,2.25,2.75,2.25,2.75,2.25,2.75,2.25
20260318_164244,google/gemini-2.5-pro,1.0128,2.75,3.0,2.75,3.0,2.75,1.0,3.0,3.0,2.75,3.0,2.75,2.75,3.0,1.0,2.75,1.75,2.75,1.75,2.0,3.75,2.25,2.0,2.0,2.0,2.0,2.75,2.25,2.25,1.75,2.25,2.25,4.25,2.75,2.25,2.25,3.25,2.75,2.75,2.75
20260318_165517,google/gemini-2.5-flash,0.7179,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.75,2.75,3.0,2.75,3.0,3.0,2.75,2.75,2.75,2.0,3.0,2.75,3.0,3.0,2.75,2.75,2.75,3.0,2.75,3.0,2.75,3.0,2.75,3.0,2.75
20260318_165658,google/gemini-3-flash-preview,0.5128,3.25,3.25,3.25,3.25,3.25,2.75,3.25,2.75,3.0,3.25,3.25,3.25,2.75,2.75,3.25,3.25,3.25,3.25,3.25,3.0,3.25,3.0,3.0,2.75,3.0,3.25,3.25,2.75,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
20260318_165857,x-ai/grok-4,0.9551,3.0,3.0,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.75,2.0,3.0,2.75,2.0,2.75,3.25,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.75,3.0,2.75,3.0,2.0,3.0,2.0,3.0,2.0,2.75,1.75
20260318_171328,qwen/qwen3-vl-235b-a22b-instruct,0.7115,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.25,3.0,2.25,3.0,3.0,3.0,3.0,3.0,2.0
20260318_171444,qwen/qwen2.5-vl-72b-instruct,0.6154,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.75,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20260318_171608,meta-llama/llama-4-maverick,0.6731,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.75,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20260318_171739,qwen/qwen3.5-flash-02-23,1.4487,2.25,2.0,1.75,2.0,2.0,2.0,2.25,1.0,2.75,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,2.25,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0
20260318_174458,moonshotai/kimi-k2.5,1.0513,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.25,3.0,1.0,2.25,1.0,3.25,3.0,1.0,3.0,3.0,1.0,1.0,3.75,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
20260318_180812,openai/gpt-4o-mini,1.1154,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.75,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.75,3.0,2.75,2.75,2.0,3.0,2.0,3.0,2.75,2.75,2.75,2.75,2.0
20260327_163444,Qwen/Qwen3-VL-4B-Instruct,0.4551,3.0,3.0,3.0,3.0,3.0,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.75,3.25,3.25,3.25,2.0,3.25,3.25,3.25,3.75,3.25,3.0,3.0,3.75,3.25,3.25,3.25,3.25,3.25,3.25,3.0,3.25,3.25,3.25
