id,source,run,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49
20260317_120430,openai/gpt-4o,1,1.1429,3.0,5.0,7.0,6.0,4.0,3.0,5.0,2.0,5.0,4.0,9.0,5.0,9.0,9.0,9.0,9.0,4.0,3.0,4.0,5.0,6.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,7.0,4.0,5.0,9.0,5.0,5.0,5.0,4.0,5.0,3.0,9.0,4.0,7.0,3.0,3.0,5.0,4.0
20260317_120621,openai/gpt-4o,2,1.0612,3.0,5.0,7.0,6.0,3.0,3.0,4.0,2.0,5.0,5.0,9.0,5.0,9.0,9.0,9.0,9.0,4.0,3.0,5.0,5.0,6.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,8.0,4.0,5.0,9.0,5.0,5.0,6.0,5.0,6.0,3.0,9.0,4.0,7.0,3.0,3.0,5.0,4.0
20260317_120806,openai/gpt-4o,3,1.0816,3.0,5.0,7.0,6.0,4.0,4.0,5.0,2.0,5.0,5.0,9.0,5.0,9.0,9.0,9.0,9.0,4.0,3.0,4.0,5.0,6.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,7.0,4.0,5.0,9.0,4.0,6.0,5.0,5.0,5.0,3.0,9.0,4.0,7.0,3.0,3.0,5.0,4.0
20260317_120430_avg,openai/gpt-4o,avg,1.0952,3.0,5.0,7.0,6.0,3.67,3.33,4.67,2.0,5.0,4.67,9.0,5.0,9.0,9.0,9.0,9.0,4.0,3.0,4.33,5.0,6.0,2.0,5.0,4.33,4.0,4.0,4.0,3.0,4.0,4.67,3.33,3.0,7.33,4.0,5.0,9.0,4.67,5.33,5.33,4.67,5.33,3.0,9.0,4.0,7.0,3.0,3.0,5.0,4.0
20260317_120958,google/gemini-3.1-pro-preview,1,0.6531,5.0,6.0,8.0,7.0,7.0,5.0,5.0,1.0,6.0,5.0,9.0,8.0,9.0,9.0,9.0,9.0,5.0,2.0,5.0,5.0,5.0,1.0,7.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,9.0,5.0,5.0,9.0,7.0,6.0,8.0,6.0,7.0,4.0,9.0,5.0,8.0,3.0,3.0,8.0,3.0
20260317_122330,google/gemini-3.1-pro-preview,2,0.6327,5.0,6.0,8.0,8.0,4.0,5.0,5.0,2.0,5.0,5.0,9.0,8.0,9.0,9.0,9.0,9.0,5.0,2.0,5.0,5.0,5.0,2.0,7.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,9.0,5.0,5.0,9.0,7.0,5.0,8.0,6.0,7.0,4.0,9.0,5.0,8.0,5.0,3.0,8.0,5.0
20260317_120958_avg,google/gemini-3.1-pro-preview,avg,0.6429,5.0,6.0,8.0,7.5,5.5,5.0,5.0,1.5,5.5,5.0,9.0,8.0,9.0,9.0,9.0,9.0,5.0,2.0,5.0,5.0,5.0,1.5,7.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.5,2.0,9.0,5.0,5.0,9.0,7.0,5.5,8.0,6.0,7.0,4.0,9.0,5.0,8.0,4.0,3.0,8.0,4.0
20260318_152843,scorer_a,1,0.2347,4.0,5.0,8.0,6.5,4.0,4.5,5.0,1.0,5.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,5.0,3.0,5.0,5.0,7.5,1.5,6.0,7.5,4.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,8.5,8.0,7.0,9.0,9.0,6.5,8.0,7.0,8.0,4.0,9.0,6.0,8.0,4.0,4.0,8.0,5.0
20260318_152843,scorer_b,1,0.2857,4.0,5.5,8.0,7.0,4.0,5.0,5.0,1.0,5.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,4.5,3.0,4.0,5.5,7.0,1.0,6.5,7.0,3.0,5.5,5.5,4.0,6.0,4.0,4.0,3.0,9.0,6.0,6.0,9.0,7.5,8.0,7.5,5.5,6.5,4.0,9.0,4.0,7.0,4.0,3.0,8.0,5.0
20260318_152843,scorer_c,1,0.6327,5.0,6.0,8.0,7.0,5.0,5.5,5.5,2.5,5.0,6.0,9.0,8.5,9.0,9.0,9.0,9.0,4.0,4.0,6.0,5.5,7.5,2.0,7.0,8.0,4.5,7.0,5.0,5.0,7.0,5.0,5.0,4.5,9.0,8.0,7.0,9.0,7.0,6.0,8.0,6.0,7.0,5.0,9.0,7.0,8.0,5.0,5.0,7.0,7.0
20260318_152843,scorer_d,1,0.4592,5.0,7.0,8.5,6.0,4.5,5.0,5.0,1.0,6.0,6.0,9.0,8.0,9.0,9.0,9.0,9.0,4.5,3.0,6.0,4.5,7.0,1.0,6.0,8.0,3.5,6.0,5.0,3.5,6.0,4.0,4.5,4.0,9.0,7.0,7.0,9.0,6.5,7.0,6.5,6.0,5.5,5.0,9.0,5.0,7.0,4.5,3.5,5.5,7.0
20260318_152843,scorer_e,1,0.6224,4.0,4.5,8.0,6.0,3.5,4.0,3.0,1.0,4.5,6.0,9.0,7.5,8.0,8.0,9.0,9.0,5.0,3.0,5.0,4.0,7.0,1.0,6.5,7.0,4.5,5.0,5.0,3.0,4.0,3.5,3.0,3.0,7.5,7.0,6.5,9.0,7.0,6.5,8.0,5.0,6.0,3.0,8.0,5.0,7.0,4.5,3.0,5.5,4.5
20260318_152843,scorer_f,1,0.4694,4.0,5.0,8.5,6.5,4.0,5.0,5.0,1.0,5.0,6.5,9.0,8.5,9.0,9.0,9.0,9.0,5.0,3.0,5.0,5.5,8.0,1.0,8.0,9.0,3.5,5.5,6.0,6.0,5.0,4.0,4.0,4.0,9.0,9.0,8.0,9.0,9.0,7.5,9.0,6.5,7.5,4.0,9.0,5.0,7.0,5.0,5.0,7.5,5.5
