id,source,run,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,bcs50,bcs51,bcs52,bcs53,bcs54,bcs55,bcs56,bcs57,bcs58,bcs59,bcs60,bcs61,bcs62,bcs63,bcs64,bcs65,bcs66,bcs67,bcs68,bcs69,bcs70,bcs71,bcs72,bcs73,bcs74,bcs75,bcs76,bcs77,bcs78,bcs79,bcs80,bcs81,bcs82,bcs83,bcs84,bcs85,bcs86,bcs87,bcs88,bcs89,bcs90
20260313_101136,openai/gpt-5.4,1,1.5722,5.0,4.0,4.5,4.0,4.0,5.0,4.5,5.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,3.0,4.5,5.0,5.0,5.0,4.5,4.5,5.0,5.0,4.5,7.0,5.0,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5,4.5,5.5,5.0,4.5,4.5,5.0,4.5,4.5,5.0,4.5,5.0,5.5,4.5,4.5,5.0,5.5,5.5,5.0,5.5,5.0,5.5,5.0,5.5,5.0,4.5,6.5,7.0,5.0,6.0,7.0,5.0,5.0,5.0,7.0,6.5,6.5,7.0,7.0,7.0,6.0,5.0,7.0,6.5,7.0,7.5,8.5,7.0,6.0,7.0,5.0,7.5,5.0,8.0,8.5,6.0
20260313_101653,openai/gpt-5.4,2,1.6722,5.0,4.5,4.5,4.5,5.0,5.0,4.5,5.0,5.0,4.5,5.0,4.5,5.0,4.5,4.5,3.0,4.5,5.0,4.5,5.0,4.5,4.5,5.0,5.0,4.5,7.0,5.0,4.5,4.5,4.5,5.0,5.0,4.5,4.5,4.5,4.5,5.0,5.0,5.0,4.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,4.5,4.5,6.5,5.5,5.5,5.0,5.5,5.0,5.5,5.0,5.5,5.5,4.5,6.5,7.0,5.0,6.5,6.5,5.0,5.0,5.0,8.0,5.0,6.0,7.0,7.0,7.0,6.5,5.0,7.0,7.0,7.0,7.0,7.5,8.5,6.0,6.0,5.0,7.5,5.0,8.0,8.0,6.0
20260313_102210,openai/gpt-5.4,3,1.6111,4.5,4.5,4.5,4.0,4.5,5.0,5.0,5.0,4.0,4.5,4.5,4.5,5.0,5.0,4.5,3.0,4.5,4.0,4.5,5.0,4.5,4.5,5.0,5.0,4.5,8.0,5.0,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,4.5,5.5,4.5,5.0,5.0,5.0,5.5,4.5,4.5,4.5,6.0,5.5,5.5,5.0,5.5,5.0,5.5,5.0,5.0,5.5,4.5,6.5,7.0,5.0,6.0,6.5,5.0,5.0,5.0,7.0,6.5,6.5,7.0,7.0,7.0,6.5,5.0,7.0,7.0,7.5,7.0,8.0,8.0,6.0,6.0,5.0,7.5,5.0,8.0,8.0,6.0
20260313_101136_avg,openai/gpt-5.4,avg,1.6185,4.83,4.33,4.5,4.17,4.5,5.0,4.67,5.0,4.33,4.5,4.67,4.5,4.83,4.67,4.5,3.0,4.5,4.67,4.67,5.0,4.5,4.5,5.0,5.0,4.5,7.33,5.0,4.5,4.5,4.83,4.83,4.83,4.5,4.5,4.5,4.5,5.0,5.0,4.83,4.5,5.17,4.5,4.67,4.83,4.67,5.17,5.17,4.5,4.5,5.83,5.5,5.5,5.0,5.5,5.0,5.5,5.0,5.33,5.33,4.5,6.5,7.0,5.0,6.17,6.67,5.0,5.0,5.0,7.33,6.0,6.33,7.0,7.0,7.0,6.33,5.0,7.0,6.83,7.17,7.17,8.0,7.83,6.0,6.33,5.0,7.5,5.0,8.0,8.17,6.0
20260313_102715,anthropic/claude-opus-4.6,1,1.5444,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,5.0
20260313_104257,anthropic/claude-opus-4.6,2,1.5556,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,5.0
20260313_105822,anthropic/claude-opus-4.6,3,1.5444,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,5.0
20260313_102715_avg,anthropic/claude-opus-4.6,avg,1.5481,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,5.0
20260313_111509,anthropic/claude-sonnet-4.6,1,2.0889,4.0,4.5,4.5,4.0,4.0,5.0,4.0,4.5,5.0,4.5,4.0,4.0,4.0,4.5,4.5,5.0,4.5,5.0,4.0,5.0,4.0,4.5,5.0,5.0,4.5,5.0,5.0,4.0,4.5,4.0,4.0,5.0,4.0,5.0,4.5,4.5,4.0,4.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.0,4.5,4.0,4.5,4.0,4.5,4.0,5.0,4.5,5.0,4.5,5.0,5.0,4.5,4.0,4.5,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,5.5,5.5,4.5,5.5,5.5,5.0,4.5,5.5,4.5,5.5,4.5,5.0,5.0,5.0,4.5,6.5,5.0,5.5,6.5,5.0
20260313_112609,anthropic/claude-sonnet-4.6,2,2.0778,4.0,4.5,4.5,4.0,4.0,5.0,4.0,4.0,5.0,4.5,4.0,4.0,4.0,4.5,4.5,5.0,4.0,5.0,4.5,5.0,4.0,4.5,5.0,5.0,4.5,5.0,5.0,4.0,4.5,4.0,4.0,5.0,4.0,5.0,4.5,4.0,4.0,4.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.0,4.5,4.0,4.5,4.0,4.5,4.0,5.0,4.5,5.0,4.5,5.0,5.0,4.5,4.0,4.5,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,5.5,5.5,4.5,5.5,5.5,5.0,4.5,5.5,4.5,5.5,4.5,5.0,5.0,5.0,4.5,6.5,5.0,5.5,6.5,5.0
