samples: train=9940, split_eval=524, held_out=278
train class distribution (BCS 1-9): [228, 524, 848, 1179, 3923, 1084, 987, 899, 268]
  [epoch 1/20] batch 10/156  loss=0.7159  lr=6.41e-06
  [epoch 1/20] batch 20/156  loss=0.7149  lr=1.28e-05
  [epoch 1/20] batch 30/156  loss=0.7089  lr=1.92e-05
  [epoch 1/20] batch 40/156  loss=0.7001  lr=2.56e-05
  [epoch 1/20] batch 50/156  loss=0.7056  lr=3.21e-05
  [epoch 1/20] batch 60/156  loss=0.6994  lr=3.85e-05
  [epoch 1/20] batch 70/156  loss=0.6924  lr=4.49e-05
  [epoch 1/20] batch 80/156  loss=0.6829  lr=5.13e-05
  [epoch 1/20] batch 90/156  loss=0.6770  lr=5.77e-05
  [epoch 1/20] batch 100/156  loss=0.6639  lr=6.41e-05
  [epoch 1/20] batch 110/156  loss=0.6688  lr=7.05e-05
  [epoch 1/20] batch 120/156  loss=0.6549  lr=7.69e-05
  [epoch 1/20] batch 130/156  loss=0.6506  lr=8.33e-05
  [epoch 1/20] batch 140/156  loss=0.6415  lr=8.97e-05
  [epoch 1/20] batch 150/156  loss=0.6322  lr=9.62e-05
  [epoch 1/20] batch 156/156  loss=0.6304  lr=1.00e-04
[epoch 1/20] avg_loss=0.6787
